number,Title,Year,genre,runtime,Ranking,voteing
23.,Yoga Hosers,2016,"Action, Comedy, Horror            ",88 min,4.2,"
Votes:
13,818
"
24.,The Room,2003,Drama            ,99 min,3.6,"
Votes:
88,339
| Gross:
$0.56M

88,339

88,339

88,339

88,339

88,339

88,339

88,339

88,339

88,339

88,339

88,339

88,339

88,339

88,339

88,339

88,339

88,339

88,339

88,339

88,339

88,339

88,339

88,339

88,339

88,339

88,339

88,339

88,339

88,339

88,339

88,339
"
25.,Jaws 3-D,1983,"Adventure, Horror, Thriller            ",99 min,3.7,"
Votes:
43,585
| Gross:
$45.52M

43,585

43,585

43,585

43,585

43,585

43,585

43,585

43,585

43,585

43,585

43,585

43,585

43,585

43,585

43,585

43,585

43,585

43,585

43,585

43,585

43,585

43,585

43,585

43,585

43,585

43,585

43,585

43,585

43,585

43,585

43,585

43,585
"
26.,Dragonball Evolution,2009,"Action, Adventure, Fantasy            ",85 min,2.6,"
Votes:
73,888
| Gross:
$9.35M

73,888

73,888

73,888

73,888

73,888

73,888

73,888

73,888

73,888

73,888

73,888

73,888

73,888

73,888

73,888

73,888

73,888

73,888

73,888

73,888

73,888

73,888

73,888

73,888

73,888

73,888

73,888

73,888

73,888

73,888

73,888
"
27.,Aliens vs. Predator: Requiem,2007,"Action, Adventure, Horror            ",94 min,4.6,"
Votes:
122,689
| Gross:
$41.80M

122,689

122,689

122,689

122,689

122,689

122,689

122,689

122,689

122,689

122,689

122,689

122,689

122,689

122,689

122,689

122,689

122,689

122,689

122,689

122,689

122,689

122,689

122,689

122,689

122,689

122,689

122,689

122,689

122,689

122,689

122,689

122,689

122,689
"
28.,Disaster Movie,2008,"Comedy, Sci-Fi            ",87 min,1.9,"
Votes:
91,069
| Gross:
$14.19M

91,069

91,069

91,069

91,069

91,069

91,069

91,069

91,069

91,069

91,069

91,069

91,069

91,069

91,069

91,069

91,069

91,069

91,069

91,069

91,069

91,069

91,069

91,069

91,069

91,069

91,069

91,069

91,069

91,069

91,069

91,069

91,069
"
29.,Sex and the City 2,2010,"Comedy, Drama, Romance            ",146 min,4.5,"
Votes:
79,323
| Gross:
$95.35M

79,323

79,323

79,323

79,323

79,323

79,323

79,323

79,323

79,323

79,323

79,323

79,323

79,323

79,323

79,323

79,323

79,323

79,323

79,323

79,323

79,323

79,323

79,323

79,323

79,323

79,323

79,323

79,323

79,323

79,323

79,323

79,323
"
30.,Birdemic: Shock and Terror,2010,"Horror, Thriller            ",105 min,1.7,"
Votes:
23,236
"
31.,The Island of Dr. Moreau,1996,"Horror, Sci-Fi, Thriller            ",96 min,4.5,"
Votes:
33,359
| Gross:
$27.66M

33,359

33,359

33,359

33,359

33,359

33,359

33,359

33,359

33,359

33,359

33,359

33,359

33,359

33,359

33,359

33,359

33,359

33,359

33,359

33,359

33,359

33,359

33,359

33,359

33,359

33,359

33,359

33,359

33,359

33,359

33,359

33,359
"
32.,Grease 2,1982,"Comedy, Music, Musical            ",115 min,4.4,"
Votes:
35,367
| Gross:
$15.17M

35,367

35,367

35,367

35,367

35,367

35,367

35,367

35,367

35,367

35,367

35,367

35,367

35,367

35,367

35,367

35,367

35,367

35,367

35,367

35,367

35,367

35,367

35,367

35,367

35,367

35,367

35,367

35,367

35,367

35,367

35,367

35,367
"
33.,Prisoners of the Ghostland,2021,"Action, Fantasy, Sci-Fi            ",103 min,4.2,"
Votes:
10,447
"
34.,Jason X,2001,"Action, Horror, Sci-Fi            ",92 min,4.4,"
Votes:
55,764
| Gross:
$13.12M

55,764

55,764

55,764

55,764

55,764

55,764

55,764

55,764

55,764

55,764

55,764

55,764

55,764

55,764

55,764

55,764

55,764

55,764

55,764

55,764

55,764

55,764

55,764

55,764

55,764

55,764

55,764

55,764

55,764

55,764

55,764

55,764
"
35.,Piranha 3DD,2012,"Comedy, Horror, Sci-Fi            ",83 min,3.7,"
Votes:
42,309
| Gross:
$0.38M

42,309

42,309

42,309

42,309

42,309

42,309

42,309

42,309

42,309

42,309

42,309

42,309

42,309

42,309

42,309

42,309

42,309

42,309

42,309

42,309

42,309

42,309

42,309

42,309

42,309

42,309

42,309

42,309

42,309

42,309

42,309
"
36.,Ghost Rider: Spirit of Vengeance,2011,"Action, Fantasy, Thriller            ",96 min,4.3,"
Votes:
118,358
| Gross:
$51.77M

118,358

118,358

118,358

118,358

118,358

118,358

118,358

118,358

118,358

118,358

118,358

118,358

118,358

118,358

118,358

118,358

118,358

118,358

118,358

118,358

118,358

118,358

118,358

118,358

118,358

118,358

118,358

118,358

118,358

118,358

118,358

118,358

118,358
"
37.,Death Note,I 2017,"Crime, Drama, Fantasy            ",101 min,4.5,"
Votes:
83,670
"
38.,Species II,1998,"Action, Horror, Sci-Fi            ",93 min,4.4,"
Votes:
29,259
| Gross:
$19.17M

29,259

29,259

29,259

29,259

29,259

29,259

29,259

29,259

29,259

29,259

29,259

29,259

29,259

29,259

29,259

29,259

29,259

29,259

29,259

29,259

29,259

29,259

29,259

29,259

29,259

29,259

29,259

29,259

29,259

29,259

29,259

29,259
"
39.,Crossroads,I 2002,"Comedy, Drama, Romance            ",93 min,3.5,"
Votes:
40,082
| Gross:
$37.19M

40,082

40,082

40,082

40,082

40,082

40,082

40,082

40,082

40,082

40,082

40,082

40,082

40,082

40,082

40,082

40,082

40,082

40,082

40,082

40,082

40,082

40,082

40,082

40,082

40,082

40,082

40,082

40,082

40,082

40,082

40,082

40,082
"
40.,Marmaduke,2010,"Comedy, Family            ",87 min,4.3,"
Votes:
15,539
| Gross:
$33.64M

15,539

15,539

15,539

15,539

15,539

15,539

15,539

15,539

15,539

15,539

15,539

15,539

15,539

15,539

15,539

15,539

15,539

15,539

15,539

15,539

15,539

15,539

15,539

15,539

15,539

15,539

15,539

15,539

15,539

15,539

15,539

15,539
"
41.,Brazen,2022,"Crime, Drama, Mystery            ",94 min,4.1,"
Votes:
11,341
"
42.,Thunder Force,2021,"Action, Adventure, Comedy            ",106 min,4.4,"
Votes:
40,924
"
43.,Shark Night,2011,"Horror, Thriller            ",90 min,4.0,"
Votes:
25,966
| Gross:
$18.87M

25,966

25,966

25,966

25,966

25,966

25,966

25,966

25,966

25,966

25,966

25,966

25,966

25,966

25,966

25,966

25,966

25,966

25,966

25,966

25,966

25,966

25,966

25,966

25,966

25,966

25,966

25,966

25,966

25,966

25,966

25,966

25,966
"
44.,The Grudge,I 2020,"Fantasy, Horror            ",94 min,4.3,"
Votes:
25,470
"
45.,Street Fighter,1994,"Action, Adventure, Comedy            ",102 min,4.0,"
Votes:
70,940
| Gross:
$33.42M

70,940

70,940

70,940

70,940

70,940

70,940

70,940

70,940

70,940

70,940

70,940

70,940

70,940

70,940

70,940

70,940

70,940

70,940

70,940

70,940

70,940

70,940

70,940

70,940

70,940

70,940

70,940

70,940

70,940

70,940

70,940

70,940
"
46.,Bio-Dome,1996,Comedy            ,88 min,4.3,"
Votes:
27,637
| Gross:
$26.76M

27,637

27,637

27,637

27,637

27,637

27,637

27,637

27,637

27,637

27,637

27,637

27,637

27,637

27,637

27,637

27,637

27,637

27,637

27,637

27,637

27,637

27,637

27,637

27,637

27,637

27,637

27,637

27,637

27,637

27,637

27,637

27,637
"
47.,Supergirl,1984,"Action, Adventure, Fantasy            ",124 min,4.4,"
Votes:
22,024
| Gross:
$13.60M

22,024

22,024

22,024

22,024

22,024

22,024

22,024

22,024

22,024

22,024

22,024

22,024

22,024

22,024

22,024

22,024

22,024

22,024

22,024

22,024

22,024

22,024

22,024

22,024

22,024

22,024

22,024

22,024

22,024

22,024

22,024

22,024
"
48.,Friday the 13th Part VIII: Jason Takes Manhattan,1989,"Adventure, Horror, Thriller            ",100 min,4.5,"
Votes:
37,732
| Gross:
$14.34M

37,732

37,732

37,732

37,732

37,732

37,732

37,732

37,732

37,732

37,732

37,732

37,732

37,732

37,732

37,732

37,732

37,732

37,732

37,732

37,732

37,732

37,732

37,732

37,732

37,732

37,732

37,732

37,732

37,732

37,732

37,732

37,732
"
49.,Holmes & Watson,2018,"Comedy, Crime, Mystery            ",90 min,3.9,"
Votes:
36,087
| Gross:
$30.57M

36,087

36,087

36,087

36,087

36,087

36,087

36,087

36,087

36,087

36,087

36,087

36,087

36,087

36,087

36,087

36,087

36,087

36,087

36,087

36,087

36,087

36,087

36,087

36,087

36,087

36,087

36,087

36,087

36,087

36,087

36,087

36,087
"
50.,Human Centipede 2: Tom Six Discusses the Story Concept,2011,Horror            ,91 min,3.8,"
Votes:
38,481
| Gross:
$0.12M

38,481

38,481

38,481

38,481

38,481

38,481

38,481

38,481

38,481

38,481

38,481

38,481

38,481

38,481

38,481

38,481

38,481

38,481

38,481

38,481

38,481

38,481

38,481

38,481

38,481

38,481

38,481

38,481

38,481

38,481

38,481
"
51.,Jason Goes to Hell: The Final Friday,1993,"Fantasy, Horror, Thriller            ",87 min,4.1,"
Votes:
32,172
| Gross:
$15.94M

32,172

32,172

32,172

32,172

32,172

32,172

32,172

32,172

32,172

32,172

32,172

32,172

32,172

32,172

32,172

32,172

32,172

32,172

32,172

32,172

32,172

32,172

32,172

32,172

32,172

32,172

32,172

32,172

32,172

32,172

32,172

32,172
"
52.,Catwoman,2004,"Action, Crime, Fantasy            ",104 min,3.4,"
Votes:
118,433
| Gross:
$40.20M

118,433

118,433

118,433

118,433

118,433

118,433

118,433

118,433

118,433

118,433

118,433

118,433

118,433

118,433

118,433

118,433

118,433

118,433

118,433

118,433

118,433

118,433

118,433

118,433

118,433

118,433

118,433

118,433

118,433

118,433

118,433

118,433

118,433
"
53.,A Wrinkle in Time,2018,"Adventure, Family, Fantasy            ",109 min,4.2,"
Votes:
44,566
| Gross:
$100.48M

44,566

44,566

44,566

44,566

44,566

44,566

44,566

44,566

44,566

44,566

44,566

44,566

44,566

44,566

44,566

44,566

44,566

44,566

44,566

44,566

44,566

44,566

44,566

44,566

44,566

44,566

44,566

44,566

44,566

44,566

44,566

44,566

44,566
"
54.,Zoom,2006,"Action, Adventure, Comedy            ",83 min,4.3,"
Votes:
20,997
| Gross:
$11.63M

20,997

20,997

20,997

20,997

20,997

20,997

20,997

20,997

20,997

20,997

20,997

20,997

20,997

20,997

20,997

20,997

20,997

20,997

20,997

20,997

20,997

20,997

20,997

20,997

20,997

20,997

20,997

20,997

20,997

20,997

20,997

20,997
"
55.,Spice World,1997,"Comedy, Family, Music            ",93 min,3.5,"
Votes:
35,805
| Gross:
$29.34M

35,805

35,805

35,805

35,805

35,805

35,805

35,805

35,805

35,805

35,805

35,805

35,805

35,805

35,805

35,805

35,805

35,805

35,805

35,805

35,805

35,805

35,805

35,805

35,805

35,805

35,805

35,805

35,805

35,805

35,805

35,805

35,805
"
56.,Speed 2: Cruise Control,1997,"Action, Adventure, Crime            ",121 min,3.9,"
Votes:
80,608
| Gross:
$48.61M

80,608

80,608

80,608

80,608

80,608

80,608

80,608

80,608

80,608

80,608

80,608

80,608

80,608

80,608

80,608

80,608

80,608

80,608

80,608

80,608

80,608

80,608

80,608

80,608

80,608

80,608

80,608

80,608

80,608

80,608

80,608

80,608
"
57.,Norbit,2007,"Comedy, Romance            ",102 min,4.1,"
Votes:
73,825
| Gross:
$95.67M

73,825

73,825

73,825

73,825

73,825

73,825

73,825

73,825

73,825

73,825

73,825

73,825

73,825

73,825

73,825

73,825

73,825

73,825

73,825

73,825

73,825

73,825

73,825

73,825

73,825

73,825

73,825

73,825

73,825

73,825

73,825

73,825
"
58.,Slender Man,2018,"Horror, Mystery, Thriller            ",93 min,3.2,"
Votes:
33,481
| Gross:
$30.57M

33,481

33,481

33,481

33,481

33,481

33,481

33,481

33,481

33,481

33,481

33,481

33,481

33,481

33,481

33,481

33,481

33,481

33,481

33,481

33,481

33,481

33,481

33,481

33,481

33,481

33,481

33,481

33,481

33,481

33,481

33,481

33,481
"
59.,Breach,IV 2020,"Action, Horror, Sci-Fi            ",92 min,3.0,"
Votes:
17,805
"
60.,Superman IV: The Quest for Peace,1987,"Action, Adventure, Sci-Fi            ",90 min,3.7,"
Votes:
48,281
| Gross:
$15.68M

48,281

48,281

48,281

48,281

48,281

48,281

48,281

48,281

48,281

48,281

48,281

48,281

48,281

48,281

48,281

48,281

48,281

48,281

48,281

48,281

48,281

48,281

48,281

48,281

48,281

48,281

48,281

48,281

48,281

48,281

48,281

48,281
"
61.,Scary Movie V,2013,Comedy            ,86 min,3.5,"
Votes:
70,929
| Gross:
$32.02M

70,929

70,929

70,929

70,929

70,929

70,929

70,929

70,929

70,929

70,929

70,929

70,929

70,929

70,929

70,929

70,929

70,929

70,929

70,929

70,929

70,929

70,929

70,929

70,929

70,929

70,929

70,929

70,929

70,929

70,929

70,929

70,929
"
62.,LOL,2012,"Comedy, Drama, Romance            ",97 min,4.3,"
Votes:
55,875
| Gross:
$0.05M

55,875

55,875

55,875

55,875

55,875

55,875

55,875

55,875

55,875

55,875

55,875

55,875

55,875

55,875

55,875

55,875

55,875

55,875

55,875

55,875

55,875

55,875

55,875

55,875

55,875

55,875

55,875

55,875

55,875

55,875

55,875
"
63.,Spy Kids 3: Game Over,2003,"Action, Adventure, Comedy            ",84 min,4.3,"
Votes:
59,698
| Gross:
$111.76M

59,698

59,698

59,698

59,698

59,698

59,698

59,698

59,698

59,698

59,698

59,698

59,698

59,698

59,698

59,698

59,698

59,698

59,698

59,698

59,698

59,698

59,698

59,698

59,698

59,698

59,698

59,698

59,698

59,698

59,698

59,698

59,698

59,698
"
64.,The Emoji Movie,2017,"Animation, Adventure, Comedy            ",86 min,3.3,"
Votes:
63,071
| Gross:
$86.09M

63,071

63,071

63,071

63,071

63,071

63,071

63,071

63,071

63,071

63,071

63,071

63,071

63,071

63,071

63,071

63,071

63,071

63,071

63,071

63,071

63,071

63,071

63,071

63,071

63,071

63,071

63,071

63,071

63,071

63,071

63,071

63,071
"
65.,A Sound of Thunder,2005,"Action, Adventure, Horror            ",110 min,4.2,"
Votes:
19,679
| Gross:
$1.89M

19,679

19,679

19,679

19,679

19,679

19,679

19,679

19,679

19,679

19,679

19,679

19,679

19,679

19,679

19,679

19,679

19,679

19,679

19,679

19,679

19,679

19,679

19,679

19,679

19,679

19,679

19,679

19,679

19,679

19,679

19,679
"
66.,The Human Centipede III (Final Sequence),2015,"Comedy, Horror            ",102 min,2.8,"
Votes:
16,662
"
67.,Cosmic Sin,2021,"Action, Adventure, Sci-Fi            ",88 min,2.5,"
Votes:
12,345
"
68.,The Canyons,2013,"Drama, Thriller            ",99 min,3.8,"
Votes:
11,407
| Gross:
$0.05M

11,407

11,407

11,407

11,407

11,407

11,407

11,407

11,407

11,407

11,407

11,407

11,407

11,407

11,407

11,407

11,407

11,407

11,407

11,407

11,407

11,407

11,407

11,407

11,407

11,407

11,407

11,407

11,407

11,407

11,407

11,407
"
69.,Extraction,II 2015,"Action, Thriller            ",82 min,4.1,"
Votes:
11,267
"
70.,Jack and Jill,I 2011,Comedy            ,91 min,3.3,"
Votes:
83,858
| Gross:
$74.16M

83,858

83,858

83,858

83,858

83,858

83,858

83,858

83,858

83,858

83,858

83,858

83,858

83,858

83,858

83,858

83,858

83,858

83,858

83,858

83,858

83,858

83,858

83,858

83,858

83,858

83,858

83,858

83,858

83,858

83,858

83,858

83,858
"
71.,Artemis Fowl,2020,"Adventure, Family, Fantasy            ",95 min,4.2,"
Votes:
27,584
"
72.,Battlefield Earth,2000,"Action, Adventure, Sci-Fi            ",118 min,2.5,"
Votes:
79,884
| Gross:
$21.47M

79,884

79,884

79,884

79,884

79,884

79,884

79,884

79,884

79,884

79,884

79,884

79,884

79,884

79,884

79,884

79,884

79,884

79,884

79,884

79,884

79,884

79,884

79,884

79,884

79,884

79,884

79,884

79,884

79,884

79,884

79,884

79,884
"
73.,The Love Guru,2008,"Comedy, Romance, Sport            ",87 min,3.8,"
Votes:
52,601
| Gross:
$32.24M

52,601

52,601

52,601

52,601

52,601

52,601

52,601

52,601

52,601

52,601

52,601

52,601

52,601

52,601

52,601

52,601

52,601

52,601

52,601

52,601

52,601

52,601

52,601

52,601

52,601

52,601

52,601

52,601

52,601

52,601

52,601

52,601
"
74.,Little Man,III 2006,"Comedy, Crime            ",98 min,4.4,"
Votes:
54,581
| Gross:
$58.65M

54,581

54,581

54,581

54,581

54,581

54,581

54,581

54,581

54,581

54,581

54,581

54,581

54,581

54,581

54,581

54,581

54,581

54,581

54,581

54,581

54,581

54,581

54,581

54,581

54,581

54,581

54,581

54,581

54,581

54,581

54,581

54,581
"
75.,Hannah Montana: The Movie,2009,"Comedy, Drama, Family            ",102 min,4.5,"
Votes:
42,254
| Gross:
$79.57M

42,254

42,254

42,254

42,254

42,254

42,254

42,254

42,254

42,254

42,254

42,254

42,254

42,254

42,254

42,254

42,254

42,254

42,254

42,254

42,254

42,254

42,254

42,254

42,254

42,254

42,254

42,254

42,254

42,254

42,254

42,254

42,254
"
76.,Deadly Illusions,2021,"Drama, Thriller            ",114 min,3.7,"
Votes:
11,924
"
77.,Exposed,III 2016,"Crime, Drama, Mystery            ",102 min,4.3,"
Votes:
15,445
"
78.,Jeepers Creepers III,2017,Horror            ,100 min,3.9,"
Votes:
22,072
| Gross:
$2.24M

22,072

22,072

22,072

22,072

22,072

22,072

22,072

22,072

22,072

22,072

22,072

22,072

22,072

22,072

22,072

22,072

22,072

22,072

22,072

22,072

22,072

22,072

22,072

22,072

22,072

22,072

22,072

22,072

22,072

22,072

22,072
"
79.,Son of the Mask,2005,"Comedy, Family, Fantasy            ",94 min,2.2,"
Votes:
55,913
| Gross:
$17.02M

55,913

55,913

55,913

55,913

55,913

55,913

55,913

55,913

55,913

55,913

55,913

55,913

55,913

55,913

55,913

55,913

55,913

55,913

55,913

55,913

55,913

55,913

55,913

55,913

55,913

55,913

55,913

55,913

55,913

55,913

55,913

55,913
"
80.,Jaws: The Revenge,1987,"Adventure, Horror, Thriller            ",89 min,3.0,"
Votes:
45,518
| Gross:
$20.76M

45,518

45,518

45,518

45,518

45,518

45,518

45,518

45,518

45,518

45,518

45,518

45,518

45,518

45,518

45,518

45,518

45,518

45,518

45,518

45,518

45,518

45,518

45,518

45,518

45,518

45,518

45,518

45,518

45,518

45,518

45,518

45,518
"
81.,RoboCop 3,1993,"Action, Crime, Sci-Fi            ",104 min,4.1,"
Votes:
50,118
| Gross:
$10.70M

50,118

50,118

50,118

50,118

50,118

50,118

50,118

50,118

50,118

50,118

50,118

50,118

50,118

50,118

50,118

50,118

50,118

50,118

50,118

50,118

50,118

50,118

50,118

50,118

50,118

50,118

50,118

50,118

50,118

50,118

50,118

50,118
"
82.,Meet the Spartans,2008,"Comedy, Fantasy            ",87 min,2.8,"
Votes:
107,571
| Gross:
$38.23M

107,571

107,571

107,571

107,571

107,571

107,571

107,571

107,571

107,571

107,571

107,571

107,571

107,571

107,571

107,571

107,571

107,571

107,571

107,571

107,571

107,571

107,571

107,571

107,571

107,571

107,571

107,571

107,571

107,571

107,571

107,571

107,571

107,571
"
83.,The Guardians,2017,"Action, Adventure, Comedy            ",89 min,4.0,"
Votes:
13,564
"
84.,Alvin and the Chipmunks: The Squeakquel,2009,"Animation, Adventure, Comedy            ",88 min,4.5,"
Votes:
48,454
| Gross:
$219.61M

48,454

48,454

48,454

48,454

48,454

48,454

48,454

48,454

48,454

48,454

48,454

48,454

48,454

48,454

48,454

48,454

48,454

48,454

48,454

48,454

48,454

48,454

48,454

48,454

48,454

48,454

48,454

48,454

48,454

48,454

48,454

48,454

48,454
"
85.,The Wicker Man,2006,"Horror, Mystery, Thriller            ",102 min,3.7,"
Votes:
67,569
| Gross:
$23.64M

67,569

67,569

67,569

67,569

67,569

67,569

67,569

67,569

67,569

67,569

67,569

67,569

67,569

67,569

67,569

67,569

67,569

67,569

67,569

67,569

67,569

67,569

67,569

67,569

67,569

67,569

67,569

67,569

67,569

67,569

67,569

67,569
"
86.,The Master of Disguise,2002,"Adventure, Comedy, Family            ",80 min,3.3,"
Votes:
25,119
| Gross:
$40.36M

25,119

25,119

25,119

25,119

25,119

25,119

25,119

25,119

25,119

25,119

25,119

25,119

25,119

25,119

25,119

25,119

25,119

25,119

25,119

25,119

25,119

25,119

25,119

25,119

25,119

25,119

25,119

25,119

25,119

25,119

25,119

25,119
"
87.,Left Behind,I 2014,"Action, Fantasy, Sci-Fi            ",110 min,3.1,"
Votes:
39,646
| Gross:
$14.00M

39,646

39,646

39,646

39,646

39,646

39,646

39,646

39,646

39,646

39,646

39,646

39,646

39,646

39,646

39,646

39,646

39,646

39,646

39,646

39,646

39,646

39,646

39,646

39,646

39,646

39,646

39,646

39,646

39,646

39,646

39,646

39,646
"
88.,Texas Chainsaw Massacre: The Next Generation,1994,"Comedy, Horror, Thriller            ",87 min,3.3,"
Votes:
22,925
| Gross:
$0.19M

22,925

22,925

22,925

22,925

22,925

22,925

22,925

22,925

22,925

22,925

22,925

22,925

22,925

22,925

22,925

22,925

22,925

22,925

22,925

22,925

22,925

22,925

22,925

22,925

22,925

22,925

22,925

22,925

22,925

22,925

22,925
"
